id,year,event,location,content,label,source
1685,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1686,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1687,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1688,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1689,2024,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1690,2025,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1691,2020,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1692,2021,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
1693,2022,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Factly
1694,2023,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,PIB Fact Check
1695,2024,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Newschecker
1696,2025,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Alt News
1697,2020,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,BOOM Live
1698,2021,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Factly
1699,2022,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,PIB Fact Check
1700,2023,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Newschecker
1701,2024,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Alt News
1702,2025,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,BOOM Live
1703,2020,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Factly
1704,2021,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,PIB Fact Check
1705,2022,Galwan Valley Clash,Ladakh,"A viral social media post claimed that a major military disaster occurred during the Galwan Valley Clash in Ladakh, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,Newschecker
1706,2023,Kashmir Militancy Encounter,Shopian,"Images circulating online were claimed to show destruction during the Kashmir Militancy Encounter in Shopian; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Alt News
1707,2024,LoC Ceasefire Violation,Kupwara,"Several Facebook and WhatsApp messages alleged secret military actions during the LoC Ceasefire Violation in Kupwara, but fact-checking organizations found no official evidence supporting these claims.",FAKE,BOOM Live
1708,2025,Cross-border Infiltration Attempt,Jammu & Kashmir,"A widely shared video was said to depict conflict during the Cross-border Infiltration Attempt in Jammu & Kashmir, but investigators determined that the footage was old and unrelated to the incident.",FAKE,Factly
1709,2020,India-Pakistan Border Tension,Punjab Border,"A viral social media post claimed that a major military disaster occurred during the India-Pakistan Border Tension in Punjab Border, but fact-checkers later confirmed that the claim was false and based on misleading information.",FAKE,PIB Fact Check
1710,2021,Terror Attack Investigation,Srinagar,"Images circulating online were claimed to show destruction during the Terror Attack Investigation in Srinagar; however, verification revealed that the pictures were actually from an unrelated incident in another country.",FAKE,Newschecker
1711,2022,Counter-insurgency Operation,Baramulla,"Several Facebook and WhatsApp messages alleged secret military actions during the Counter-insurgency Operation in Baramulla, but fact-checking organizations found no official evidence supporting these claims.",FAKE,Alt News
1712,2023,Manipur Ethnic Conflict,Imphal,"A widely shared video was said to depict conflict during the Manipur Ethnic Conflict in Imphal, but investigators determined that the footage was old and unrelated to the incident.",FAKE,BOOM Live
